rating,opponent,result,colour,timestamp
1200.0,no opponent,0,no colour,beginning of time
1180,frankie,0.0,white,2025-08-02 15:37:35.406331
1200,dean,1.0,black,2025-08-02 15:58:30.638053
1182,gavin,0.0,black,2025-08-02 20:20:34.442244
1206,gavin,1.0,black,2025-08-03 14:56:37.627962
1188,gavin,0.0,black,2025-08-03 19:17:04.786871
1172,gavin,0.0,black,2025-08-03 19:17:08.610909
1157,gavin,0.0,white,2025-08-05 12:45:43.762552
1144,gavin,0.0,white,2025-08-05 12:45:46.237125
1132,gavin,0.0,white,2025-08-05 12:45:47.996983
